Epoch: 0 (Saved at 0), Train Loss: 813.996, Validation Loss: 882.933 (42.131), Epoch time: 29.815 s, LR = 0.00200000
Epoch: 1 (Saved at 1), Train Loss: 525.223, Validation Loss: 551.378 (33.524), Epoch time: 30.555 s, LR = 0.00200000
Epoch: 2 (Saved at 2), Train Loss: 445.060, Validation Loss: 472.340 (34.071), Epoch time: 30.999 s, LR = 0.00200000
Epoch: 3 (Saved at 3), Train Loss: 299.572, Validation Loss: 263.515 (21.206), Epoch time: 31.424 s, LR = 0.00200000
Epoch: 4 (Saved at 4), Train Loss: 213.726, Validation Loss: 192.194 (7.836), Epoch time: 31.604 s, LR = 0.00200000
Epoch: 5 (Saved at 5), Train Loss: 181.511, Validation Loss: 123.012 (10.806), Epoch time: 31.093 s, LR = 0.00200000
Epoch: 6 (Saved at 6), Train Loss: 168.984, Validation Loss: 112.901 (8.189), Epoch time: 31.045 s, LR = 0.00200000
Epoch: 7 (Saved at 7), Train Loss: 157.391, Validation Loss: 99.575 (7.807), Epoch time: 31.654 s, LR = 0.00200000
Epoch: 8 (Saved at 8), Train Loss: 155.325, Validation Loss: 93.011 (7.908), Epoch time: 31.372 s, LR = 0.00200000
Epoch: 9 (Saved at 9), Train Loss: 140.693, Validation Loss: 85.883 (7.660), Epoch time: 32.095 s, LR = 0.00200000
Epoch: 10 (Saved at 10), Train Loss: 139.284, Validation Loss: 82.361 (6.789), Epoch time: 31.277 s, LR = 0.00200000
Epoch: 11 (Saved at 10), Train Loss: 138.877, Validation Loss: 82.573 (6.156), Epoch time: 30.368 s, LR = 0.00200000
Epoch: 12 (Saved at 12), Train Loss: 127.934, Validation Loss: 80.898 (5.771), Epoch time: 30.533 s, LR = 0.00200000
Epoch: 13 (Saved at 13), Train Loss: 135.729, Validation Loss: 78.861 (5.638), Epoch time: 29.770 s, LR = 0.00200000
Epoch: 14 (Saved at 14), Train Loss: 128.557, Validation Loss: 77.558 (5.698), Epoch time: 30.097 s, LR = 0.00200000
Epoch: 15 (Saved at 15), Train Loss: 130.641, Validation Loss: 74.068 (5.580), Epoch time: 31.515 s, LR = 0.00200000
Epoch: 16 (Saved at 15), Train Loss: 130.048, Validation Loss: 74.321 (5.219), Epoch time: 30.520 s, LR = 0.00200000
Epoch: 17 (Saved at 15), Train Loss: 120.449, Validation Loss: 77.575 (4.991), Epoch time: 30.625 s, LR = 0.00200000
Epoch: 18 (Saved at 18), Train Loss: 121.946, Validation Loss: 73.285 (4.952), Epoch time: 30.119 s, LR = 0.00200000
Epoch: 19 (Saved at 18), Train Loss: 118.732, Validation Loss: 74.330 (4.842), Epoch time: 31.057 s, LR = 0.00200000
Epoch: 20 (Saved at 18), Train Loss: 115.758, Validation Loss: 75.839 (4.605), Epoch time: 30.923 s, LR = 0.00200000
Epoch: 21 (Saved at 21), Train Loss: 122.555, Validation Loss: 70.604 (4.973), Epoch time: 30.604 s, LR = 0.00200000
Epoch: 22 (Saved at 22), Train Loss: 113.240, Validation Loss: 68.601 (4.818), Epoch time: 30.050 s, LR = 0.00200000
Epoch: 23 (Saved at 23), Train Loss: 120.498, Validation Loss: 66.829 (5.165), Epoch time: 31.245 s, LR = 0.00200000
Epoch: 24 (Saved at 24), Train Loss: 115.814, Validation Loss: 63.286 (4.889), Epoch time: 30.791 s, LR = 0.00200000
Epoch: 25 (Saved at 25), Train Loss: 110.255, Validation Loss: 63.247 (5.234), Epoch time: 30.699 s, LR = 0.00200000
Epoch: 26 (Saved at 25), Train Loss: 109.789, Validation Loss: 66.812 (4.918), Epoch time: 32.437 s, LR = 0.00200000
Epoch: 27 (Saved at 25), Train Loss: 105.267, Validation Loss: 65.060 (5.021), Epoch time: 31.799 s, LR = 0.00200000
Epoch: 28 (Saved at 25), Train Loss: 112.366, Validation Loss: 65.571 (4.869), Epoch time: 31.160 s, LR = 0.00200000
Epoch: 29 (Saved at 25), Train Loss: 107.287, Validation Loss: 67.739 (4.830), Epoch time: 30.762 s, LR = 0.00200000
Epoch: 30 (Saved at 30), Train Loss: 109.249, Validation Loss: 60.136 (5.483), Epoch time: 32.056 s, LR = 0.00200000
Epoch: 31 (Saved at 30), Train Loss: 105.051, Validation Loss: 65.420 (4.952), Epoch time: 31.368 s, LR = 0.00200000
Epoch: 32 (Saved at 30), Train Loss: 104.349, Validation Loss: 62.446 (5.248), Epoch time: 30.595 s, LR = 0.00200000
Epoch: 33 (Saved at 33), Train Loss: 104.692, Validation Loss: 57.434 (5.156), Epoch time: 31.381 s, LR = 0.00200000
Epoch: 34 (Saved at 33), Train Loss: 101.191, Validation Loss: 57.993 (5.269), Epoch time: 31.711 s, LR = 0.00200000
Epoch: 35 (Saved at 35), Train Loss: 99.285, Validation Loss: 56.584 (5.341), Epoch time: 31.681 s, LR = 0.00200000
Epoch: 36 (Saved at 35), Train Loss: 102.724, Validation Loss: 57.849 (5.385), Epoch time: 31.129 s, LR = 0.00200000
Epoch: 37 (Saved at 35), Train Loss: 101.521, Validation Loss: 63.166 (5.192), Epoch time: 32.631 s, LR = 0.00200000
Epoch: 38 (Saved at 35), Train Loss: 99.027, Validation Loss: 60.654 (5.551), Epoch time: 31.292 s, LR = 0.00200000
Epoch: 39 (Saved at 39), Train Loss: 98.088, Validation Loss: 55.124 (5.520), Epoch time: 32.054 s, LR = 0.00200000
Epoch: 40 (Saved at 39), Train Loss: 96.960, Validation Loss: 55.466 (5.436), Epoch time: 32.097 s, LR = 0.00200000
Epoch: 41 (Saved at 41), Train Loss: 87.418, Validation Loss: 54.545 (5.757), Epoch time: 31.818 s, LR = 0.00200000
Epoch: 42 (Saved at 41), Train Loss: 92.831, Validation Loss: 57.538 (5.614), Epoch time: 31.873 s, LR = 0.00200000
Epoch: 43 (Saved at 41), Train Loss: 92.221, Validation Loss: 58.521 (5.305), Epoch time: 32.316 s, LR = 0.00200000
Epoch: 44 (Saved at 44), Train Loss: 98.439, Validation Loss: 50.202 (6.169), Epoch time: 31.810 s, LR = 0.00200000
Epoch: 45 (Saved at 44), Train Loss: 95.210, Validation Loss: 57.310 (5.384), Epoch time: 31.666 s, LR = 0.00200000
Epoch: 46 (Saved at 44), Train Loss: 96.263, Validation Loss: 53.079 (5.771), Epoch time: 31.652 s, LR = 0.00200000
Epoch: 47 (Saved at 47), Train Loss: 92.627, Validation Loss: 46.453 (5.884), Epoch time: 30.699 s, LR = 0.00200000
Epoch: 48 (Saved at 47), Train Loss: 89.001, Validation Loss: 50.476 (5.649), Epoch time: 31.600 s, LR = 0.00200000
Epoch: 49 (Saved at 47), Train Loss: 87.971, Validation Loss: 53.814 (5.518), Epoch time: 31.065 s, LR = 0.00200000
Epoch: 50 (Saved at 47), Train Loss: 89.353, Validation Loss: 55.465 (5.424), Epoch time: 32.167 s, LR = 0.00200000
Epoch: 51 (Saved at 47), Train Loss: 87.598, Validation Loss: 49.167 (5.526), Epoch time: 32.388 s, LR = 0.00200000
Epoch: 52 (Saved at 47), Train Loss: 86.002, Validation Loss: 54.296 (5.068), Epoch time: 31.999 s, LR = 0.00200000
Epoch: 53 (Saved at 53), Train Loss: 81.290, Validation Loss: 46.199 (5.919), Epoch time: 31.796 s, LR = 0.00200000
Epoch: 54 (Saved at 53), Train Loss: 88.831, Validation Loss: 50.961 (5.591), Epoch time: 32.024 s, LR = 0.00200000
Epoch: 55 (Saved at 53), Train Loss: 84.471, Validation Loss: 46.934 (5.985), Epoch time: 31.015 s, LR = 0.00200000
Epoch: 56 (Saved at 53), Train Loss: 91.111, Validation Loss: 48.771 (5.561), Epoch time: 31.299 s, LR = 0.00200000
